vision Sirius,have,Voldemort Department Mysteries
Buckbeak,be,Harry
Narcissa,be,Harry Ron
Goblet Fire,have,possession Winky
Harry,be force,Hagrid
Lord Voldemort Heir Slytherin,troll,Harry
Headmaster Albus Dumbledore,have,Voldemort
Harry,be,Harry place Gryffindor Quidditch team Seeker
students,meet,Harry
Voldemort 's hands,be,Harry
Harry,seal,Ron
Hagrid,left,Cornelius Fudge
Dumbledore,be,Harry 's whereabouts
Malfoy 's ruse,be,wand
Goblet Fire,have,maze
Hermione,sees,Voldemort
Black,have,Slughorn
