Harry Potter,lives,Vernon Petunia Dursley Harry Potter
Harry Potter,lives,Harry Potter aunt uncle
Harry Potter,lives,Harry Potter abusive aunt uncle
Vernon Petunia Dursley Harry Potter,bullying,son
Harry Potter,lives,Vernon Petunia Dursley Harry Potter bullying
Harry,'s birthday be,half giant named
Harry,have,parents
Harry,have,eleventh birthday
Rubeus Hagrid,delivers,acceptance letter Hogwarts School Witchcraft Wizardry
Rubeus Hagrid,delivers,acceptance letter Hogwarts School Witchcraft Wizardry revealing
Harry 's eleventh birthday,be,wizards
Rubeus Hagrid,personally delivers,acceptance letter Hogwarts School Witchcraft Wizardry
Rubeus Hagrid,personally delivers,acceptance letter Hogwarts School Witchcraft Wizardry revealing
Harry 's birthday,be,wizards
Harry,'s parents be,James Lily Potter
one year,old,evil powerful dark wizard
Harry,be old,one year
Harry forehead,destroyed,lightning shaped scar Harry forehead
Voldemort,kill,curse
Voldemort,seemingly destroy,lightning scar Harry forehead
Voldemort,seemingly destroy,lightning shaped scar Harry forehead
Voldemort Harry forehead,kill,curse
Harry forehead,seemingly destroy,leaving lightning bolt shaped scar Harry forehead
Harry forehead,seemingly destroy,lightning scar Harry forehead
Voldemort,seemingly destroy,leaving lightning shaped scar Harry forehead
Harry forehead,destroyed,leaving lightning bolt shaped scar Harry forehead
Voldemort,seemingly destroy,leaving lightning bolt shaped scar Harry forehead
Voldemort,rebound,Harry forehead
Harry forehead,destroyed,Dark Lord
Harry forehead,destroyed,lightning scar Harry forehead
Harry forehead,destroyed,lightning bolt shaped scar Harry forehead
Harry forehead,destroyed,leaving lightning shaped scar Harry forehead
Voldemort,destroyed,Dark Lord
Voldemort,destroyed,lightning bolt shaped scar Harry forehead
Voldemort,seemingly destroy,Dark Lord
Voldemort,destroyed,leaving lightning shaped scar Harry forehead
Harry forehead,seemingly destroy,leaving lightning scar Harry forehead
Voldemort,seemingly destroy,lightning bolt shaped scar Harry forehead
Voldemort,seemingly destroy,leaving lightning scar Harry forehead
Voldemort,destroyed,leaving lightning scar Harry forehead
Harry forehead,seemingly destroy,lightning shaped scar Harry forehead
Harry forehead,seemingly destroy,lightning bolt shaped scar Harry forehead
Voldemort,destroyed,leaving lightning bolt shaped scar Harry forehead
Harry forehead,destroyed,leaving lightning scar Harry forehead
Voldemort,destroyed,lightning scar Harry forehead
Voldemort,destroyed,lightning shaped scar Harry forehead
Harry forehead,seemingly destroy,Dark Lord
Harry forehead,seemingly destroy,leaving lightning shaped scar Harry forehead
Harry,be,famous world
Harry,be,famous world
Unknown Harry,be,wizarding world
Harry,be,famous wizarding world
Harry,be,famous wizarding world
Harry,be,world
Harry,be,world
Unknown Harry,be,world
Harry,be,wizarding world
Harry,be,wizarding world
Unknown Harry,be,famous world
Unknown Harry,be,famous wizarding world
Hagrid,take,hidden wizard commerce retail section London
Hagrid,take,wizard commerce retail section London
Hagrid,take,hidden wizard commerce section London
Hagrid,take,Harry Diagon Alley
Hagrid,take,wizard commerce section London
Harry,have,parents
Harry 's parents,have leave,Harry fortune
Harry fortune,kept,Gringotts Wizarding Bank
Harry,buys,school supplies wand Ollivander
cores Harry Lord Voldemort 's wands,have,feathers bird
cores Harry Lord Voldemort 's wands,have,feathers phoenix bird
cores Harry Lord Voldemort 's wands,have,feathers phoenix bird making
cores Harry Lord Voldemort,have,wands
cores Harry Lord Voldemort 's wands,have,feathers bird making
Hagrid,give,Harry owl Harry names Hedwig
Hogwarts Express King,have,Cross railway station
year Ronald Weasley,meets,Hermione Granger
fellow year Ronald Weasley,meets,Hermione Granger
Harry,runs,year student
Harry,runs,afoul first year student
Harry,runs,afoul year student
Harry,runs,Draco Malfoy
Harry,runs,first year student
Draco joins,be sort,Gryffindor
Draco joins,be,sorted
Draco,joins,Slytherin
ability,earns,Harry place Gryffindor Quidditch team Seeker
flying ability,earns,Harry place Gryffindor Quidditch team Seeker
Harry 's broomstick,earns,Harry place Gryffindor Quidditch team Seeker
Harry,have,broomstick
dislike Potions,master,Severus Snape
Slytherin seeking,favours fail,Harry
Malfoy 's ruse,discover,headed dog
Malfoy,'s ruse be,unable stop
Malfoy 's ruse,discover,gigantic three headed dog
Malfoy,'s ruse be,tags along hide forbidden corridor
